,open,high,low,close,volume,value
2025-04-29 17:59:00,136738000.0,136738000.0,136736000.0,136737000.0,0.15790649,21591597.7817
2025-04-29 18:00:00,136736000.0,136738000.0,136736000.0,136736000.0,0.73224208,100124687.8164
2025-04-29 18:01:00,136737000.0,136738000.0,136720000.0,136722000.0,0.27332448,37371641.96555
2025-04-29 18:02:00,136738000.0,136795000.0,136684000.0,136720000.0,0.8838791,120845132.30521
2025-04-29 18:03:00,136722000.0,136800000.0,136686000.0,136800000.0,1.3037731,178302616.23034
2025-04-29 18:04:00,136800000.0,136800000.0,136706000.0,136730000.0,0.34401352,47054452.08476
2025-04-29 18:05:00,136730000.0,136793000.0,136686000.0,136686000.0,0.21643587,29594418.80618
2025-04-29 18:06:00,136779000.0,136780000.0,136668000.0,136742000.0,0.42269825,57778742.30974
2025-04-29 18:07:00,136739000.0,136739000.0,136648000.0,136648000.0,0.46760055,63910511.92674
2025-04-29 18:08:00,136650000.0,136686000.0,136605000.0,136608000.0,0.09180129,12542099.88186
2025-04-29 18:09:00,136608000.0,136631000.0,136607000.0,136608000.0,0.51537585,70406961.57248
2025-04-29 18:10:00,136608000.0,136733000.0,136576000.0,136603000.0,0.63793148,87142195.45133
2025-04-29 18:11:00,136603000.0,136650000.0,136594000.0,136600000.0,0.49095529,67069225.80144
2025-04-29 18:12:00,136650000.0,136650000.0,136584000.0,136584000.0,0.14158315,19340543.78872
2025-04-29 18:13:00,136650000.0,136695000.0,136570000.0,136695000.0,0.19578152,26745744.49198
2025-04-29 18:14:00,136695000.0,136695000.0,136505000.0,136520000.0,0.63819368,87144404.8748
2025-04-29 18:15:00,136504000.0,136561000.0,136466000.0,136490000.0,2.63352816,359442542.67567
2025-04-29 18:16:00,136490000.0,136561000.0,136460000.0,136468000.0,0.2511519,34274964.51072
2025-04-29 18:17:00,136468000.0,136533000.0,136427000.0,136427000.0,0.40416442,55148523.2715
2025-04-29 18:18:00,136433000.0,136533000.0,136427000.0,136490000.0,0.54202515,73957226.67113
2025-04-29 18:19:00,136490000.0,136534000.0,136410000.0,136494000.0,1.20775822,164803371.66592
2025-04-29 18:20:00,136494000.0,136494000.0,136400000.0,136427000.0,0.52550667,71695694.89474
2025-04-29 18:21:00,136447000.0,136467000.0,136417000.0,136419000.0,0.37300132,50891317.72417
